VER,EDATE,BIRD,ADATE,STIMEU,STIMEQ,DUR,STIMEL,ORBIT,NS,LAT,LATQ,EW,LON,LONQ,ALT,ATYPE,ADIAG,ACOMMENT,SVE,SPIN
5,6/19/1988,@PN0302,9/9/1987,0006,0,0,1646,G,N,0,0,W,110,0,35784,UNK,UNK,TWTA 3H HV trip-off,0,
5,6/19/1988,@PN0302,10/15/1987,1646,0,0,0926,G,N,0,0,W,110,0,35784,UNK,UNK,TWTA 3H HV trip-off,0,
5,5/10/1989,@PN0302,6/7/1988,0958,0,0,0238,G,N,0,0,W,110,0,35784,PC,UNK,TWTA 6H HV Trip-off,0,
5,5/10/1989,@PN0302,1/22/1989,2102,0,0,1342,G,N,0,0,W,110,0,35784,PC,UNK,TWTA 5H HV Trip-off,0,
5,5/10/1989,@PN0302,4/17/1989,1240,0,0,0520,G,N,0,0,W,110,0,35784,PC,UNK,TWTA 8V HV Trip-off,0,
5,5/10/1989,@PN0302,4/19/1989,1502,0,0,0742,G,N,0,0,W,110,0,35784,PC,UNK,TWTA 3V HV Trip-off,0,
5,3/10/1994,@PN0303,11/11/1982,9999,0,0,,,,0,0,,0,0,0,UNK,UNK,"[HUGHES] TT&C Omni Antenna Transfer Orbit Config (SYSTEM: Telemetry, Tracking &",0,
5,6/16/1988,@PN0303,4/9/1983,0508,0,0,2116,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,5/6/1983,0229,0,0,1837,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,6/16/1983,0512,0,0,2120,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,12/11/1986,@PN0303,7/28/1983,1037,0,0,0245,G,N,0,0,W,118,0,35784,PC,ESD,ACE 1 ANC - 1 SWITCH OFF,0,
5,6/16/1988,@PN0303,10/11/1983,1002,0,0,0210,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - AUTO step to CMD Step,0,
5,6/16/1988,@PN0303,10/19/1983,1254,0,0,0502,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - AUTO step to CMD Step,0,
5,6/16/1988,@PN0303,10/25/1983,0921,0,0,0129,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2 APK to HGT,0,
5,6/16/1988,@PN0303,10/31/1983,0732,0,0,2340,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 2 to CTR 1 HGT to APK,0,
5,6/16/1988,@PN0303,11/3/1983,0600,0,0,2208,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2 APK to HGT,0,
5,6/16/1988,@PN0303,11/10/1983,1737,0,0,0945,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 2 to CTR 1 HGT to APK,0,
5,6/16/1988,@PN0303,12/9/1983,2300,0,0,1508,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2 APK to HGT,0,
5,6/16/1988,@PN0303,12/12/1983,2238,0,0,1446,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 2 to CTR 1 HGT to APK,0,
5,6/16/1988,@PN0303,12/13/1983,2247,0,0,1455,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - AUTO Step to CMD Step,0,
5,6/16/1988,@PN0303,12/26/1983,0736,0,0,2344,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - AUTO Step to CMD Step,0,
5,6/16/1988,@PN0303,3/2/1984,0516,0,0,2124,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2 APK to HGT,0,
5,6/16/1988,@PN0303,3/3/1984,0039,0,0,1647,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 2 to CTR 1 HGT to APK,0,
5,6/16/1988,@PN0303,3/3/1984,1855,0,0,1103,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 2 to CTR 1 & AUTO Step to CMD Step,0,
5,6/16/1988,@PN0303,3/7/1984,0751,0,0,2359,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 2 to CTR 1 HGT to APK,0,
5,12/11/1986,@PN0303,3/23/1984,1419,0,0,0627,G,N,0,0,W,118,0,35784,PC,ESD,"APE 2 SWITCH, CTR AUTO-SELECT DISABLED",0,
5,6/16/1988,@PN0303,3/29/1984,2039,0,0,1247,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,3/31/1984,0429,0,0,2037,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,4/2/1984,0006,0,0,1614,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,4/3/1984,1955,0,0,1203,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,4/28/1984,0520,0,0,2128,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,4/29/1984,0533,0,0,2141,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,5/23/1984,0309,0,0,1917,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,6/5/1984,0325,0,0,1933,G,N,0,0,W,118,0,35784,PF,UNK,TWTA 3V HV TRIP-OFF,0,
5,6/16/1988,@PN0303,6/18/1984,0418,0,0,2026,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,7/15/1984,0515,0,0,2123,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,7/17/1984,0550,0,0,2158,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,12/11/1986,@PN0303,8/5/1984,2103,0,0,1311,G,N,0,0,W,118,0,35784,PC,ESD,SPIN ENCODER 2 MODE SWITCH,0,
5,6/16/1988,@PN0303,9/11/1984,0812,0,0,0020,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,9/24/1984,0812,0,0,0020,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,9/24/1984,2300,0,0,1508,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,9/27/1984,0554,0,0,2202,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,10/7/1984,2120,0,0,1328,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,10/9/1984,2052,0,0,1300,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,10/10/1984,1500,0,0,0708,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,10/11/1984,0009,0,0,1617,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,10/12/1984,0305,0,0,1913,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,10/13/1984,1258,0,0,0506,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,10/14/1984,0604,0,0,2212,G,N,0,0,W,118,0,35784,PF,UNK,TWTA 3V TRIP-OFF,0,
5,6/16/1988,@PN0303,10/17/1984,0104,0,0,1712,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,10/22/1984,1154,0,0,0402,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,10/23/1984,0632,0,0,2240,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,10/24/1984,1257,0,0,0505,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,10/24/1984,1910,0,0,1118,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,12/11/1986,@PN0303,10/25/1984,1906,0,0,1114,G,N,0,0,W,118,0,35784,PC,ESD,ENCODER 2 SUBCOM 2 SWITCH TO DWELL,0,
