VER,EDATE,BIRD,ADATE,STIMEU,STIMEQ,DUR,STIMEL,ORBIT,NS,LAT,LATQ,EW,LON,LONQ,ALT,ATYPE,ADIAG,ACOMMENT,SVE,SPIN
5,9/8/1993,TDRS-1,5/10/1983,0256,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 0 ROW: 0 CHIP:40 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,5/10/1983,1327,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 7 ROW: 7 CHIP:32 BIT: 3 SET: 0,,
5,9/8/1993,TDRS-1,5/11/1983,0056,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 4 ROW: 9 CHIP:31 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,5/12/1983,0319,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 0 ROW: 4 CHIP:32 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,5/12/1983,0319,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 1 ROW: 8 CHIP:31 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,5/13/1983,1129,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL:13 ROW:10 CHIP:31 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,5/15/1983,1008,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 3 ROW: 4 CHIP:40 BIT: 0 SET: 0,,
5,9/8/1993,TDRS-1,5/17/1983,2234,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:0 COL:15 ROW: 8 CHIP:38 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,5/18/1983,1830,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:14 ROW:13 CHIP:40 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,5/20/1983,1342,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:1 COL:12 ROW: 3 CHIP:?? BIT:?? SET:??,,
5,9/8/1993,TDRS-1,5/21/1983,1037,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:1 COL:11 ROW: 2 CHIP:33 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,5/21/1983,1037,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 0 ROW:15 CHIP:31 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,5/24/1983,1327,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 7 ROW:11 CHIP:40 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,5/24/1983,2320,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:1 COL:10 ROW: 3 CHIP:37 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,5/24/1983,2320,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 8 ROW: 6 CHIP:31 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,5/25/1983,0808,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 1 ROW: 3 CHIP:32 BIT: 2 SET: 0,,
5,9/8/1993,TDRS-1,5/27/1983,0328,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 2 ROW:14 CHIP:35 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,5/27/1983,1825,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 3 ROW:12 CHIP:40 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,5/27/1983,2307,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 7 ROW: 9 CHIP:40 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,5/30/1983,1942,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 6 ROW:11 CHIP:32 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,6/5/1983,1905,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:1 COL:14 ROW: 5 CHIP:37 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,6/5/1983,1905,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL:15 ROW: 0 CHIP:35 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,6/7/1983,1406,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:1 COL:11 ROW: 5 CHIP:33 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,6/7/1983,1406,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 2 ROW:15 CHIP:31 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,6/8/1983,2152,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL:15 ROW: 0 CHIP:35 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,6/9/1983,1313,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 5 ROW:15 CHIP:40 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,6/10/1983,1300,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL:11 ROW:12 CHIP:31 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,6/11/1983,0912,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:12 ROW:11 CHIP:40 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,6/11/1983,2032,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:13 ROW:10 CHIP:31 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,6/13/1983,0159,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 1 ROW:11 CHIP:40 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,6/15/1983,1251,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 4 ROW: 5 CHIP:31 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,6/15/1983,1700,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL:14 ROW: 8 CHIP:35 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,6/16/1983,1513,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 2 ROW: 5 CHIP:35 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,6/17/1983,0250,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 6 ROW: 6 CHIP:31 BIT: 3 SET: 1,,
